2017-12-07 12:32:00,198:INFO: 文字e5a4a7无法post请求
2017-12-07 12:32:21,425:INFO: 文字e5a4a7无法post请求
2017-12-07 13:51:41,237:ERROR: 文字 :b'\xe3\x90\x87' 没有gif动图,在第6行
2017-12-07 13:51:41,467:ERROR: 文字 :b'\xe3\x90\x88' 没有gif动图,在第7行
2017-12-07 13:51:41,697:ERROR: 文字 :b'\xe3\x90\x89' 没有gif动图,在第8行
2017-12-07 13:51:41,947:ERROR: 文字 :b'\xe3\x90\x8b' 没有gif动图,在第9行
2017-12-07 13:51:42,206:ERROR: 文字 :b'\xe3\x90\x8c' 没有gif动图,在第10行
2017-12-07 13:51:42,452:ERROR: 文字 :b'\xe3\x90\x8d' 没有gif动图,在第11行
2017-12-07 13:51:42,712:ERROR: 文字 :b'\xe3\x90\x8e' 没有gif动图,在第12行
2017-12-07 14:28:24,663:ERROR: 文字 :b'\xe3\x90\x80' 没有形近字,在hanyu的第1行
2017-12-07 14:28:25,993:ERROR: 文字 :b'\xe3\x90\x81' 没有形近字,在hanyu的第2行
2017-12-07 14:28:27,296:ERROR: 文字 :b'\xe3\x90\x82' 没有形近字,在hanyu的第3行
2017-12-07 14:28:28,539:ERROR: 文字 :b'\xe3\x90\x85' 没有形近字,在hanyu的第4行
2017-12-07 14:28:29,773:ERROR: 文字 :b'\xe3\x90\x86' 没有形近字,在hanyu的第5行
2017-12-07 14:28:31,032:ERROR: 文字 :b'\xe3\x90\x87' 没有形近字,在hanyu的第6行
2017-12-07 14:28:32,301:ERROR: 文字 :b'\xe3\x90\x88' 没有形近字,在hanyu的第7行
2017-12-07 14:28:33,568:ERROR: 文字 :b'\xe3\x90\x89' 没有形近字,在hanyu的第8行
2017-12-07 14:28:34,832:ERROR: 文字 :b'\xe3\x90\x8b' 没有形近字,在hanyu的第9行
2017-12-07 14:28:36,092:ERROR: 文字 :b'\xe3\x90\x8c' 没有形近字,在hanyu的第10行
2017-12-07 14:28:37,322:ERROR: 文字 :b'\xe3\x90\x8d' 没有形近字,在hanyu的第11行
2017-12-07 14:28:38,616:ERROR: 文字 :b'\xe3\x90\x8e' 没有形近字,在hanyu的第12行
2017-12-07 14:28:39,901:ERROR: 文字 :b'\xe3\x90\x8f' 没有形近字,在hanyu的第13行
2017-12-07 14:28:41,187:ERROR: 文字 :b'\xe3\x90\x90' 没有形近字,在hanyu的第14行
2017-12-07 14:28:42,437:ERROR: 文字 :b'\xe3\x90\x92' 没有形近字,在hanyu的第15行
2017-12-07 14:28:43,711:ERROR: 文字 :b'\xe3\x90\x93' 没有形近字,在hanyu的第16行
2017-12-07 14:28:44,928:ERROR: 文字 :b'\xe3\x90\x96' 没有形近字,在hanyu的第17行
2017-12-07 14:28:46,176:ERROR: 文字 :b'\xe3\x90\x97' 没有形近字,在hanyu的第18行
2017-12-07 14:28:47,443:ERROR: 文字 :b'\xe3\x90\x98' 没有形近字,在hanyu的第19行
2017-12-07 14:28:48,698:ERROR: 文字 :b'\xe3\x90\x9a' 没有形近字,在hanyu的第20行
2017-12-07 14:28:49,930:ERROR: 文字 :b'\xe3\x90\x9c' 没有形近字,在hanyu的第21行
2017-12-07 14:28:51,200:ERROR: 文字 :b'\xe3\x90\x9d' 没有形近字,在hanyu的第22行
2017-12-07 14:28:52,470:ERROR: 文字 :b'\xe3\x90\x9e' 没有形近字,在hanyu的第23行
2017-12-07 14:28:53,982:ERROR: 文字 :b'\xe3\x90\x9f' 没有形近字,在hanyu的第24行
2017-12-07 14:28:55,249:ERROR: 文字 :b'\xe3\x90\xa1' 没有形近字,在hanyu的第25行
2017-12-07 14:28:56,499:ERROR: 文字 :b'\xe3\x90\xa2' 没有形近字,在hanyu的第26行
2017-12-07 14:28:57,768:ERROR: 文字 :b'\xe3\x90\xa3' 没有形近字,在hanyu的第27行
2017-12-07 14:28:59,017:ERROR: 文字 :b'\xe3\x90\xa4' 没有形近字,在hanyu的第28行
2017-12-07 14:29:00,281:ERROR: 文字 :b'\xe3\x90\xa5' 没有形近字,在hanyu的第29行
2017-12-07 14:29:01,523:ERROR: 文字 :b'\xe3\x90\xa6' 没有形近字,在hanyu的第30行
2017-12-07 14:29:02,750:ERROR: 文字 :b'\xe3\x90\xa8' 没有形近字,在hanyu的第31行
2017-12-07 14:29:04,005:ERROR: 文字 :b'\xe3\x90\xa9' 没有形近字,在hanyu的第32行
2017-12-07 14:29:05,202:ERROR: 文字 :b'\xe3\x90\xab' 没有形近字,在hanyu的第33行
2017-12-07 14:29:06,444:ERROR: 文字 :b'\xe3\x90\xb0' 没有形近字,在hanyu的第34行
2017-12-07 14:29:07,694:ERROR: 文字 :b'\xe3\x90\xb1' 没有形近字,在hanyu的第35行
2017-12-07 14:29:08,937:ERROR: 文字 :b'\xe3\x90\xb2' 没有形近字,在hanyu的第36行
2017-12-07 14:29:10,174:ERROR: 文字 :b'\xe3\x90\xb3' 没有形近字,在hanyu的第37行
2017-12-07 14:29:11,403:ERROR: 文字 :b'\xe3\x90\xb7' 没有形近字,在hanyu的第38行
2017-12-07 14:29:12,663:ERROR: 文字 :b'\xe3\x90\xb8' 没有形近字,在hanyu的第39行
2017-12-07 14:29:13,897:ERROR: 文字 :b'\xe3\x90\xb9' 没有形近字,在hanyu的第40行
2017-12-07 14:29:15,165:ERROR: 文字 :b'\xe3\x90\xba' 没有形近字,在hanyu的第41行
2017-12-07 14:29:16,430:ERROR: 文字 :b'\xe3\x90\xbb' 没有形近字,在hanyu的第42行
2017-12-07 14:29:17,665:ERROR: 文字 :b'\xe3\x90\xbc' 没有形近字,在hanyu的第43行
2017-12-07 14:29:18,930:ERROR: 文字 :b'\xe3\x90\xbe' 没有形近字,在hanyu的第44行
2017-12-07 14:29:20,170:ERROR: 文字 :b'\xe3\x91\x80' 没有形近字,在hanyu的第45行
2017-12-07 14:29:21,409:ERROR: 文字 :b'\xe3\x91\x82' 没有形近字,在hanyu的第46行
2017-12-07 14:29:22,652:ERROR: 文字 :b'\xe3\x91\x83' 没有形近字,在hanyu的第47行
2017-12-07 14:29:23,912:ERROR: 文字 :b'\xe3\x91\x84' 没有形近字,在hanyu的第48行
2017-12-07 14:29:25,152:ERROR: 文字 :b'\xe3\x91\x85' 没有形近字,在hanyu的第49行
2017-12-07 14:29:26,399:ERROR: 文字 :b'\xe3\x91\x87' 没有形近字,在hanyu的第50行
2017-12-07 14:29:27,607:ERROR: 文字 :b'\xe3\x91\x89' 没有形近字,在hanyu的第51行
2017-12-07 14:29:28,838:ERROR: 文字 :b'\xe3\x91\x8a' 没有形近字,在hanyu的第52行
2017-12-07 14:29:30,101:ERROR: 文字 :b'\xe3\x91\x8b' 没有形近字,在hanyu的第53行
2017-12-07 14:29:31,336:ERROR: 文字 :b'\xe3\x91\x8d' 没有形近字,在hanyu的第54行
2017-12-07 14:29:32,603:ERROR: 文字 :b'\xe3\x91\x8e' 没有形近字,在hanyu的第55行
2017-12-07 14:29:33,833:ERROR: 文字 :b'\xe3\x91\x8f' 没有形近字,在hanyu的第56行
2017-12-07 14:29:35,060:ERROR: 文字 :b'\xe3\x91\x91' 没有形近字,在hanyu的第57行
2017-12-07 14:29:36,330:ERROR: 文字 :b'\xe3\x91\x94' 没有形近字,在hanyu的第58行
2017-12-07 14:29:37,572:ERROR: 文字 :b'\xe3\x91\x97' 没有形近字,在hanyu的第59行
2017-12-07 14:29:38,798:ERROR: 文字 :b'\xe3\x91\x98' 没有形近字,在hanyu的第60行
2017-12-07 14:29:40,055:ERROR: 文字 :b'\xe3\x91\x99' 没有形近字,在hanyu的第61行
2017-12-07 14:29:41,327:ERROR: 文字 :b'\xe3\x91\x9a' 没有形近字,在hanyu的第62行
2017-12-07 14:29:42,619:ERROR: 文字 :b'\xe3\x91\x9b' 没有形近字,在hanyu的第63行
2017-12-07 14:29:43,878:ERROR: 文字 :b'\xe3\x91\x9c' 没有形近字,在hanyu的第64行
2017-12-07 14:29:45,117:ERROR: 文字 :b'\xe3\x91\x9d' 没有形近字,在hanyu的第65行
2017-12-07 14:29:46,319:ERROR: 文字 :b'\xe3\x91\x9e' 没有形近字,在hanyu的第66行
2017-12-07 14:29:47,570:ERROR: 文字 :b'\xe3\x91\xa3' 没有形近字,在hanyu的第67行
2017-12-07 14:29:48,804:ERROR: 文字 :b'\xe3\x91\xa4' 没有形近字,在hanyu的第68行
2017-12-07 14:29:50,055:ERROR: 文字 :b'\xe3\x91\xa5' 没有形近字,在hanyu的第69行
2017-12-07 14:29:51,309:ERROR: 文字 :b'\xe3\x91\xa6' 没有形近字,在hanyu的第70行
2017-12-07 14:29:52,547:ERROR: 文字 :b'\xe3\x91\xa7' 没有形近字,在hanyu的第71行
2017-12-07 14:29:53,814:ERROR: 文字 :b'\xe3\x91\xa8' 没有形近字,在hanyu的第72行
2017-12-07 14:29:55,073:ERROR: 文字 :b'\xe3\x91\xa9' 没有形近字,在hanyu的第73行
2017-12-07 14:29:56,322:ERROR: 文字 :b'\xe3\x91\xaa' 没有形近字,在hanyu的第74行
2017-12-07 14:29:57,570:ERROR: 文字 :b'\xe3\x91\xae' 没有形近字,在hanyu的第75行
2017-12-07 14:29:58,828:ERROR: 文字 :b'\xe3\x91\xaf' 没有形近字,在hanyu的第76行
2017-12-07 14:30:00,066:ERROR: 文字 :b'\xe3\x91\xb0' 没有形近字,在hanyu的第77行
2017-12-07 14:30:01,331:ERROR: 文字 :b'\xe3\x91\xb1' 没有形近字,在hanyu的第78行
2017-12-07 14:30:02,567:ERROR: 文字 :b'\xe3\x91\xb3' 没有形近字,在hanyu的第79行
2017-12-07 14:30:03,846:ERROR: 文字 :b'\xe3\x91\xb5' 没有形近字,在hanyu的第80行
2017-12-07 14:30:05,096:ERROR: 文字 :b'\xe3\x91\xb6' 没有形近字,在hanyu的第81行
2017-12-07 14:30:06,346:ERROR: 文字 :b'\xe3\x91\xb7' 没有形近字,在hanyu的第82行
2017-12-07 14:30:07,601:ERROR: 文字 :b'\xe3\x91\xb8' 没有形近字,在hanyu的第83行
2017-12-07 14:30:08,873:ERROR: 文字 :b'\xe3\x91\xb9' 没有形近字,在hanyu的第84行
2017-12-07 14:30:10,143:ERROR: 文字 :b'\xe3\x91\xba' 没有形近字,在hanyu的第85行
2017-12-07 14:30:11,377:ERROR: 文字 :b'\xe3\x91\xbb' 没有形近字,在hanyu的第86行
2017-12-07 14:30:12,633:ERROR: 文字 :b'\xe3\x91\xbd' 没有形近字,在hanyu的第87行
2017-12-07 14:30:13,899:ERROR: 文字 :b'\xe3\x91\xbe' 没有形近字,在hanyu的第88行
2017-12-07 14:30:15,198:ERROR: 文字 :b'\xe3\x91\xbf' 没有形近字,在hanyu的第89行
2017-12-07 14:30:16,463:ERROR: 文字 :b'\xe3\x92\x80' 没有形近字,在hanyu的第90行
2017-12-07 14:30:17,723:ERROR: 文字 :b'\xe3\x92\x81' 没有形近字,在hanyu的第91行
2017-12-07 14:30:18,989:ERROR: 文字 :b'\xe3\x92\x82' 没有形近字,在hanyu的第92行
2017-12-07 14:30:20,230:ERROR: 文字 :b'\xe3\x92\x83' 没有形近字,在hanyu的第93行
2017-12-07 14:30:21,451:ERROR: 文字 :b'\xe3\x92\x84' 没有形近字,在hanyu的第94行
2017-12-07 14:30:22,692:ERROR: 文字 :b'\xe3\x92\x85' 没有形近字,在hanyu的第95行
2017-12-07 14:30:23,948:ERROR: 文字 :b'\xe3\x92\x86' 没有形近字,在hanyu的第96行
2017-12-07 14:30:25,199:ERROR: 文字 :b'\xe3\x92\x87' 没有形近字,在hanyu的第97行
2017-12-07 14:30:26,425:ERROR: 文字 :b'\xe3\x92\x88' 没有形近字,在hanyu的第98行
2017-12-07 14:30:27,682:ERROR: 文字 :b'\xe3\x92\x89' 没有形近字,在hanyu的第99行
2017-12-07 14:30:28,956:ERROR: 文字 :b'\xe3\x92\x8a' 没有形近字,在hanyu的第100行
2017-12-07 14:30:30,210:ERROR: 文字 :b'\xe3\x92\x8c' 没有形近字,在hanyu的第101行
2017-12-07 14:30:31,458:ERROR: 文字 :b'\xe3\x92\x8d' 没有形近字,在hanyu的第102行
2017-12-07 14:30:32,726:ERROR: 文字 :b'\xe3\x92\x8e' 没有形近字,在hanyu的第103行
2017-12-07 14:30:34,007:ERROR: 文字 :b'\xe3\x92\x90' 没有形近字,在hanyu的第104行
2017-12-07 14:30:35,237:ERROR: 文字 :b'\xe3\x92\x91' 没有形近字,在hanyu的第105行
2017-12-07 14:30:36,443:ERROR: 文字 :b'\xe3\x92\x92' 没有形近字,在hanyu的第106行
2017-12-07 14:33:19,473:ERROR: 文字 :丳 没有形近字,在hanyu的第4927行
2017-12-07 14:37:50,625:INFO: 文字 :临在hanyu的第4928行，请求成功，但没有对应形近字,
2017-12-07 14:42:20,547:ERROR: 文字 :b'\xe3\x90\x80' 没有形近字,在hanyu的第1行
2017-12-07 14:42:20,835:ERROR: 文字 :b'\xe3\x90\x81' 没有形近字,在hanyu的第2行
2017-12-07 14:42:21,113:ERROR: 文字 :b'\xe3\x90\x82' 没有形近字,在hanyu的第3行
2017-12-07 14:42:21,371:ERROR: 文字 :b'\xe3\x90\x85' 没有形近字,在hanyu的第4行
2017-12-07 14:42:21,571:ERROR: 文字 :b'\xe3\x90\x86' 没有形近字,在hanyu的第5行
2017-12-07 14:42:21,841:ERROR: 文字 :b'\xe3\x90\x87' 没有形近字,在hanyu的第6行
2017-12-07 14:42:22,091:ERROR: 文字 :b'\xe3\x90\x88' 没有形近字,在hanyu的第7行
2017-12-07 14:42:22,361:ERROR: 文字 :b'\xe3\x90\x89' 没有形近字,在hanyu的第8行
2017-12-07 14:42:22,631:ERROR: 文字 :b'\xe3\x90\x8b' 没有形近字,在hanyu的第9行
2017-12-07 14:42:22,885:ERROR: 文字 :b'\xe3\x90\x8c' 没有形近字,在hanyu的第10行
2017-12-07 14:42:23,172:ERROR: 文字 :b'\xe3\x90\x8d' 没有形近字,在hanyu的第11行
2017-12-07 14:42:23,422:ERROR: 文字 :b'\xe3\x90\x8e' 没有形近字,在hanyu的第12行
2017-12-07 14:42:23,722:ERROR: 文字 :b'\xe3\x90\x8f' 没有形近字,在hanyu的第13行
2017-12-07 14:42:24,062:ERROR: 文字 :b'\xe3\x90\x90' 没有形近字,在hanyu的第14行
2017-12-07 14:42:24,287:ERROR: 文字 :b'\xe3\x90\x92' 没有形近字,在hanyu的第15行
2017-12-07 14:42:24,627:ERROR: 文字 :b'\xe3\x90\x93' 没有形近字,在hanyu的第16行
2017-12-07 14:42:24,907:ERROR: 文字 :b'\xe3\x90\x96' 没有形近字,在hanyu的第17行
2017-12-07 14:42:25,209:ERROR: 文字 :b'\xe3\x90\x97' 没有形近字,在hanyu的第18行
2017-12-07 14:42:25,479:ERROR: 文字 :b'\xe3\x90\x98' 没有形近字,在hanyu的第19行
2017-12-07 14:42:25,729:ERROR: 文字 :b'\xe3\x90\x9a' 没有形近字,在hanyu的第20行
2017-12-07 14:42:26,019:ERROR: 文字 :b'\xe3\x90\x9c' 没有形近字,在hanyu的第21行
2017-12-07 14:42:26,359:ERROR: 文字 :b'\xe3\x90\x9d' 没有形近字,在hanyu的第22行
2017-12-07 14:42:26,699:ERROR: 文字 :b'\xe3\x90\x9e' 没有形近字,在hanyu的第23行
2017-12-07 14:42:27,014:ERROR: 文字 :b'\xe3\x90\x9f' 没有形近字,在hanyu的第24行
2017-12-07 14:42:27,314:ERROR: 文字 :b'\xe3\x90\xa1' 没有形近字,在hanyu的第25行
2017-12-07 14:42:27,586:ERROR: 文字 :b'\xe3\x90\xa2' 没有形近字,在hanyu的第26行
2017-12-07 14:42:27,875:ERROR: 文字 :b'\xe3\x90\xa3' 没有形近字,在hanyu的第27行
2017-12-07 14:42:28,130:ERROR: 文字 :b'\xe3\x90\xa4' 没有形近字,在hanyu的第28行
2017-12-07 14:42:28,400:ERROR: 文字 :b'\xe3\x90\xa5' 没有形近字,在hanyu的第29行
2017-12-07 14:42:28,680:ERROR: 文字 :b'\xe3\x90\xa6' 没有形近字,在hanyu的第30行
2017-12-07 14:42:28,950:ERROR: 文字 :b'\xe3\x90\xa8' 没有形近字,在hanyu的第31行
2017-12-07 14:42:29,180:ERROR: 文字 :b'\xe3\x90\xa9' 没有形近字,在hanyu的第32行
2017-12-07 14:42:29,520:ERROR: 文字 :b'\xe3\x90\xab' 没有形近字,在hanyu的第33行
2017-12-07 14:42:32,852:ERROR: 文字 :b'\xe3\x90\xb0' 没有形近字,在hanyu的第34行
2017-12-07 14:42:33,082:ERROR: 文字 :b'\xe3\x90\xb1' 没有形近字,在hanyu的第35行
2017-12-07 14:42:33,312:ERROR: 文字 :b'\xe3\x90\xb2' 没有形近字,在hanyu的第36行
2017-12-07 14:42:33,572:ERROR: 文字 :b'\xe3\x90\xb3' 没有形近字,在hanyu的第37行
2017-12-07 14:42:33,792:ERROR: 文字 :b'\xe3\x90\xb7' 没有形近字,在hanyu的第38行
2017-12-07 14:42:34,053:ERROR: 文字 :b'\xe3\x90\xb8' 没有形近字,在hanyu的第39行
2017-12-07 14:42:34,358:ERROR: 文字 :b'\xe3\x90\xb9' 没有形近字,在hanyu的第40行
2017-12-07 14:42:34,688:ERROR: 文字 :b'\xe3\x90\xba' 没有形近字,在hanyu的第41行
2017-12-07 14:42:34,948:ERROR: 文字 :b'\xe3\x90\xbb' 没有形近字,在hanyu的第42行
2017-12-07 14:42:35,246:ERROR: 文字 :b'\xe3\x90\xbc' 没有形近字,在hanyu的第43行
2017-12-07 14:42:35,546:ERROR: 文字 :b'\xe3\x90\xbe' 没有形近字,在hanyu的第44行
2017-12-07 14:42:35,836:ERROR: 文字 :b'\xe3\x91\x80' 没有形近字,在hanyu的第45行
2017-12-07 14:42:36,109:ERROR: 文字 :b'\xe3\x91\x82' 没有形近字,在hanyu的第46行
2017-12-07 14:42:36,343:ERROR: 文字 :b'\xe3\x91\x83' 没有形近字,在hanyu的第47行
2017-12-07 14:42:36,588:ERROR: 文字 :b'\xe3\x91\x84' 没有形近字,在hanyu的第48行
2017-12-07 14:42:36,848:ERROR: 文字 :b'\xe3\x91\x85' 没有形近字,在hanyu的第49行
2017-12-07 14:42:37,140:ERROR: 文字 :b'\xe3\x91\x87' 没有形近字,在hanyu的第50行
2017-12-07 14:42:37,400:ERROR: 文字 :b'\xe3\x91\x89' 没有形近字,在hanyu的第51行
2017-12-07 14:42:37,680:ERROR: 文字 :b'\xe3\x91\x8a' 没有形近字,在hanyu的第52行
2017-12-07 14:42:38,100:ERROR: 文字 :b'\xe3\x91\x8b' 没有形近字,在hanyu的第53行
2017-12-07 14:42:38,398:ERROR: 文字 :b'\xe3\x91\x8d' 没有形近字,在hanyu的第54行
2017-12-07 14:42:38,638:ERROR: 文字 :b'\xe3\x91\x8e' 没有形近字,在hanyu的第55行
2017-12-07 14:42:38,908:ERROR: 文字 :b'\xe3\x91\x8f' 没有形近字,在hanyu的第56行
2017-12-07 14:42:39,173:ERROR: 文字 :b'\xe3\x91\x91' 没有形近字,在hanyu的第57行
2017-12-07 14:42:39,533:ERROR: 文字 :b'\xe3\x91\x94' 没有形近字,在hanyu的第58行
2017-12-07 14:42:39,913:ERROR: 文字 :b'\xe3\x91\x97' 没有形近字,在hanyu的第59行
2017-12-07 14:42:40,255:ERROR: 文字 :b'\xe3\x91\x98' 没有形近字,在hanyu的第60行
2017-12-07 14:42:40,611:ERROR: 文字 :b'\xe3\x91\x99' 没有形近字,在hanyu的第61行
2017-12-07 14:42:40,971:ERROR: 文字 :b'\xe3\x91\x9a' 没有形近字,在hanyu的第62行
2017-12-07 14:42:41,290:ERROR: 文字 :b'\xe3\x91\x9b' 没有形近字,在hanyu的第63行
2017-12-07 14:42:41,670:ERROR: 文字 :b'\xe3\x91\x9c' 没有形近字,在hanyu的第64行
2017-12-07 14:42:41,994:ERROR: 文字 :b'\xe3\x91\x9d' 没有形近字,在hanyu的第65行
2017-12-07 14:42:42,248:ERROR: 文字 :b'\xe3\x91\x9e' 没有形近字,在hanyu的第66行
2017-12-07 14:42:42,587:ERROR: 文字 :b'\xe3\x91\xa3' 没有形近字,在hanyu的第67行
2017-12-07 14:42:42,967:ERROR: 文字 :b'\xe3\x91\xa4' 没有形近字,在hanyu的第68行
2017-12-07 14:42:43,317:ERROR: 文字 :b'\xe3\x91\xa5' 没有形近字,在hanyu的第69行
2017-12-07 14:42:43,617:ERROR: 文字 :b'\xe3\x91\xa6' 没有形近字,在hanyu的第70行
2017-12-07 14:42:43,907:ERROR: 文字 :b'\xe3\x91\xa7' 没有形近字,在hanyu的第71行
2017-12-07 14:42:44,272:ERROR: 文字 :b'\xe3\x91\xa8' 没有形近字,在hanyu的第72行
2017-12-07 14:42:44,632:ERROR: 文字 :b'\xe3\x91\xa9' 没有形近字,在hanyu的第73行
2017-12-07 14:42:44,972:ERROR: 文字 :b'\xe3\x91\xaa' 没有形近字,在hanyu的第74行
2017-12-07 14:42:45,251:ERROR: 文字 :b'\xe3\x91\xae' 没有形近字,在hanyu的第75行
2017-12-07 14:42:45,604:ERROR: 文字 :b'\xe3\x91\xaf' 没有形近字,在hanyu的第76行
2017-12-07 14:42:45,934:ERROR: 文字 :b'\xe3\x91\xb0' 没有形近字,在hanyu的第77行
2017-12-07 14:42:46,310:ERROR: 文字 :b'\xe3\x91\xb1' 没有形近字,在hanyu的第78行
2017-12-07 14:42:46,630:ERROR: 文字 :b'\xe3\x91\xb3' 没有形近字,在hanyu的第79行
2017-12-07 14:42:46,880:ERROR: 文字 :b'\xe3\x91\xb5' 没有形近字,在hanyu的第80行
2017-12-07 14:42:47,229:ERROR: 文字 :b'\xe3\x91\xb6' 没有形近字,在hanyu的第81行
2017-12-07 14:42:47,489:ERROR: 文字 :b'\xe3\x91\xb7' 没有形近字,在hanyu的第82行
2017-12-07 14:42:47,829:ERROR: 文字 :b'\xe3\x91\xb8' 没有形近字,在hanyu的第83行
2017-12-07 14:42:48,113:ERROR: 文字 :b'\xe3\x91\xb9' 没有形近字,在hanyu的第84行
2017-12-07 14:42:48,343:ERROR: 文字 :b'\xe3\x91\xba' 没有形近字,在hanyu的第85行
2017-12-07 14:42:48,583:ERROR: 文字 :b'\xe3\x91\xbb' 没有形近字,在hanyu的第86行
2017-12-07 14:42:48,843:ERROR: 文字 :b'\xe3\x91\xbd' 没有形近字,在hanyu的第87行
2017-12-07 14:42:49,163:ERROR: 文字 :b'\xe3\x91\xbe' 没有形近字,在hanyu的第88行
2017-12-07 14:42:49,433:ERROR: 文字 :b'\xe3\x91\xbf' 没有形近字,在hanyu的第89行
2017-12-07 14:42:49,763:ERROR: 文字 :b'\xe3\x92\x80' 没有形近字,在hanyu的第90行
2017-12-07 14:42:50,103:ERROR: 文字 :b'\xe3\x92\x81' 没有形近字,在hanyu的第91行
2017-12-07 14:42:50,378:ERROR: 文字 :b'\xe3\x92\x82' 没有形近字,在hanyu的第92行
2017-12-07 14:42:50,748:ERROR: 文字 :b'\xe3\x92\x83' 没有形近字,在hanyu的第93行
2017-12-07 14:42:51,127:ERROR: 文字 :b'\xe3\x92\x84' 没有形近字,在hanyu的第94行
2017-12-07 14:42:51,506:ERROR: 文字 :b'\xe3\x92\x85' 没有形近字,在hanyu的第95行
2017-12-07 14:42:54,741:ERROR: 文字 :b'\xe3\x92\x86' 没有形近字,在hanyu的第96行
2017-12-07 14:42:55,001:ERROR: 文字 :b'\xe3\x92\x87' 没有形近字,在hanyu的第97行
